State_Name,state_code,survey_year,ITEM_NAME,item,AMOUNT
United States,0,2016,Total Taxes,T00,"927,991,215"
United States,0,2016,Property taxes,T01,"18,364,298"
United States,0,2016,Sales and gross receipts taxes,TA1,"440,637,465"
United States,0,2016,License taxes,TA3,"52,164,396"
United States,0,2016,Income taxes,TA4,"392,286,910"
United States,0,2016,Other taxes,TA5,"24,538,146"
Alabama,1,2016,Total Taxes,T00,"9,919,794"
Alabama,1,2016,Property taxes,T01,"346,277"
Alabama,1,2016,Sales and gross receipts taxes,TA1,"5,106,102"
Alabama,1,2016,License taxes,TA3,"507,479"
Alabama,1,2016,Income taxes,TA4,"3,869,584"
Alabama,1,2016,Other taxes,TA5,"90,352"
Alaska,2,2016,Total Taxes,T00,"1,042,164"
Alaska,2,2016,Property taxes,T01,"111,736"
Alaska,2,2016,Sales and gross receipts taxes,TA1,"260,846"
Alaska,2,2016,License taxes,TA3,"120,529"
Alaska,2,2016,Income taxes,TA4,"212,252"
Alaska,2,2016,Other taxes,TA5,"336,801"
Arizona,3,2016,Total Taxes,T00,"14,676,375"
Arizona,3,2016,Property taxes,T01,"943,008"
Arizona,3,2016,Sales and gross receipts taxes,TA1,"8,680,009"
Arizona,3,2016,License taxes,TA3,"482,362"
Arizona,3,2016,Income taxes,TA4,"4,538,472"
Arizona,3,2016,Other taxes,TA5,"32,524"
Arkansas,4,2016,Total Taxes,T00,"9,452,883"
Arkansas,4,2016,Property taxes,T01,"1,119,958"
Arkansas,4,2016,Sales and gross receipts taxes,TA1,"4,590,072"
Arkansas,4,2016,License taxes,TA3,"396,891"
Arkansas,4,2016,Income taxes,TA4,"3,231,617"
Arkansas,4,2016,Other taxes,TA5,"114,345"
California,5,2016,Total Taxes,T00,"155,231,252"
California,5,2016,Property taxes,T01,"2,513,157"
California,5,2016,Sales and gross receipts taxes,TA1,"53,365,753"
California,5,2016,License taxes,TA3,"8,551,427"
California,5,2016,Income taxes,TA4,"90,655,530"
California,5,2016,Other taxes,TA5,"145,385"
Colorado,6,2016,Total Taxes,T00,"12,795,318"
Colorado,6,2016,Property taxes,T01,X
Colorado,6,2016,Sales and gross receipts taxes,TA1,"4,897,029"
Colorado,6,2016,License taxes,TA3,"702,499"
Colorado,6,2016,Income taxes,TA4,"7,111,711"
Colorado,6,2016,Other taxes,TA5,"84,079"
Connecticut,7,2016,Total Taxes,T00,"15,244,947"
Connecticut,7,2016,Property taxes,T01,X
Connecticut,7,2016,Sales and gross receipts taxes,TA1,"6,149,782"
Connecticut,7,2016,License taxes,TA3,"455,454"
Connecticut,7,2016,Income taxes,TA4,"8,276,620"
Connecticut,7,2016,Other taxes,TA5,"363,091"
Delaware,8,2016,Total Taxes,T00,"3,522,301"
Delaware,8,2016,Property taxes,T01,X
Delaware,8,2016,Sales and gross receipts taxes,TA1,"539,193"
Delaware,8,2016,License taxes,TA3,"1,452,596"
Delaware,8,2016,Income taxes,TA4,"1,430,520"
Delaware,8,2016,Other taxes,TA5,"99,992"
DC,9,2016,Total Taxes,T00,"7,404,521"
DC,9,2016,Property taxes,T01,"2,416,604"
DC,9,2016,Sales and gross receipts taxes,TA1,"1,783,982"
DC,9,2016,License taxes,TA3,"180,380"
DC,9,2016,Income taxes,TA4,"2,464,330"
DC,9,2016,Other taxes,TA5,"559,225"
Florida,10,2016,Total Taxes,T00,"37,640,420"
Florida,10,2016,Property taxes,T01,20
Florida,10,2016,Sales and gross receipts taxes,TA1,"30,429,302"
Florida,10,2016,License taxes,TA3,"2,241,468"
Florida,10,2016,Income taxes,TA4,"2,272,230"
Florida,10,2016,Other taxes,TA5,"2,697,400"
Georgia,11,2016,Total Taxes,T00,"21,454,446"
Georgia,11,2016,Property taxes,T01,"961,780"
Georgia,11,2016,Sales and gross receipts taxes,TA1,"8,408,456"
Georgia,11,2016,License taxes,TA3,"663,946"
Georgia,11,2016,Income taxes,TA4,"11,420,536"
Georgia,11,2016,Other taxes,TA5,-272
Hawaii,12,2016,Total Taxes,T00,"6,919,035"
Hawaii,12,2016,Property taxes,T01,X
Hawaii,12,2016,Sales and gross receipts taxes,TA1,"4,315,902"
Hawaii,12,2016,License taxes,TA3,"263,130"
Hawaii,12,2016,Income taxes,TA4,"2,224,299"
Hawaii,12,2016,Other taxes,TA5,"115,704"
Idaho,13,2016,Total Taxes,T00,"4,209,514"
Idaho,13,2016,Property taxes,T01,X
Idaho,13,2016,Sales and gross receipts taxes,TA1,"2,121,094"
Idaho,13,2016,License taxes,TA3,"372,883"
Idaho,13,2016,Income taxes,TA4,"1,710,234"
Idaho,13,2016,Other taxes,TA5,"5,303"
Illinois,14,2016,Total Taxes,T00,"36,634,690"
Illinois,14,2016,Property taxes,T01,"60,814"
Illinois,14,2016,Sales and gross receipts taxes,TA1,"16,251,735"
Illinois,14,2016,License taxes,TA3,"2,745,949"
Illinois,14,2016,Income taxes,TA4,"17,173,986"
Illinois,14,2016,Other taxes,TA5,"402,206"
Indiana,15,2016,Total Taxes,T00,"17,587,958"
Indiana,15,2016,Property taxes,T01,"10,699"
Indiana,15,2016,Sales and gross receipts taxes,TA1,"10,608,207"
Indiana,15,2016,License taxes,TA3,"714,634"
Indiana,15,2016,Income taxes,TA4,"6,252,533"
Indiana,15,2016,Other taxes,TA5,"1,885"
Iowa,16,2016,Total Taxes,T00,"9,558,563"
Iowa,16,2016,Property taxes,T01,"1,410"
Iowa,16,2016,Sales and gross receipts taxes,TA1,"4,591,421"
Iowa,16,2016,License taxes,TA3,"925,958"
Iowa,16,2016,Income taxes,TA4,"3,930,190"
Iowa,16,2016,Other taxes,TA5,"109,584"
Kansas,17,2016,Total Taxes,T00,"8,058,949"
Kansas,17,2016,Property taxes,T01,"663,841"
Kansas,17,2016,Sales and gross receipts taxes,TA1,"4,324,953"
Kansas,17,2016,License taxes,TA3,"396,648"
Kansas,17,2016,Income taxes,TA4,"2,623,779"
Kansas,17,2016,Other taxes,TA5,"49,728"
Kentucky,18,2016,Total Taxes,T00,"11,778,866"
Kentucky,18,2016,Property taxes,T01,"577,544"
Kentucky,18,2016,Sales and gross receipts taxes,TA1,"5,603,120"
Kentucky,18,2016,License taxes,TA3,"505,377"
Kentucky,18,2016,Income taxes,TA4,"4,888,920"
Kentucky,18,2016,Other taxes,TA5,"203,905"
Louisiana,19,2016,Total Taxes,T00,"9,309,673"
Louisiana,19,2016,Property taxes,T01,"62,273"
Louisiana,19,2016,Sales and gross receipts taxes,TA1,"5,352,907"
Louisiana,19,2016,License taxes,TA3,"400,191"
Louisiana,19,2016,Income taxes,TA4,"3,038,035"
Louisiana,19,2016,Other taxes,TA5,"456,267"
Maine,20,2016,Total Taxes,T00,"4,130,242"
Maine,20,2016,Property taxes,T01,"35,425"
Maine,20,2016,Sales and gross receipts taxes,TA1,"2,077,913"
Maine,20,2016,License taxes,TA3,"272,253"
Maine,20,2016,Income taxes,TA4,"1,689,129"
Maine,20,2016,Other taxes,TA5,"55,522"
Maryland,21,2016,Total Taxes,T00,"20,894,199"
Maryland,21,2016,Property taxes,T01,"748,389"
Maryland,21,2016,Sales and gross receipts taxes,TA1,"8,939,430"
Maryland,21,2016,License taxes,TA3,"884,363"
Maryland,21,2016,Income taxes,TA4,"9,646,537"
Maryland,21,2016,Other taxes,TA5,"675,480"
Massachusetts,22,2016,Total Taxes,T00,"27,283,005"
Massachusetts,22,2016,Property taxes,T01,"5,818"
Massachusetts,22,2016,Sales and gross receipts taxes,TA1,"8,683,866"
Massachusetts,22,2016,License taxes,TA3,"1,122,219"
Massachusetts,22,2016,Income taxes,TA4,"16,764,223"
Massachusetts,22,2016,Other taxes,TA5,"706,879"
Michigan,23,2016,Total Taxes,T00,"27,436,607"
Michigan,23,2016,Property taxes,T01,"2,034,013"
Michigan,23,2016,Sales and gross receipts taxes,TA1,"13,239,133"
Michigan,23,2016,License taxes,TA3,"1,660,663"
Michigan,23,2016,Income taxes,TA4,"10,202,060"
Michigan,23,2016,Other taxes,TA5,"300,738"
Minnesota,24,2016,Total Taxes,T00,"25,189,128"
Minnesota,24,2016,Property taxes,T01,"849,824"
Minnesota,24,2016,Sales and gross receipts taxes,TA1,"10,120,647"
Minnesota,24,2016,License taxes,TA3,"1,426,235"
Minnesota,24,2016,Income taxes,TA4,"12,248,267"
Minnesota,24,2016,Other taxes,TA5,"544,155"
Mississippi,25,2016,Total Taxes,T00,"7,660,391"
Mississippi,25,2016,Property taxes,T01,"26,725"
Mississippi,25,2016,Sales and gross receipts taxes,TA1,"4,777,794"
Mississippi,25,2016,License taxes,TA3,"553,510"
Mississippi,25,2016,Income taxes,TA4,"2,263,164"
Mississippi,25,2016,Other taxes,TA5,"39,198"
Missouri,26,2016,Total Taxes,T00,"12,245,169"
Missouri,26,2016,Property taxes,T01,"30,892"
Missouri,26,2016,Sales and gross receipts taxes,TA1,"5,302,264"
Missouri,26,2016,License taxes,TA3,"547,326"
Missouri,26,2016,Income taxes,TA4,"6,352,437"
Missouri,26,2016,Other taxes,TA5,"12,250"
Montana,27,2016,Total Taxes,T00,"2,627,943"
Montana,27,2016,Property taxes,T01,"278,497"
Montana,27,2016,Sales and gross receipts taxes,TA1,"562,474"
Montana,27,2016,License taxes,TA3,"319,020"
Montana,27,2016,Income taxes,TA4,"1,300,011"
Montana,27,2016,Other taxes,TA5,"167,941"
Nebraska,28,2016,Total Taxes,T00,"5,117,133"
Nebraska,28,2016,Property taxes,T01,123
Nebraska,28,2016,Sales and gross receipts taxes,TA1,"2,362,718"
Nebraska,28,2016,License taxes,TA3,"185,082"
Nebraska,28,2016,Income taxes,TA4,"2,552,391"
Nebraska,28,2016,Other taxes,TA5,"16,819"
Nevada,29,2016,Total Taxes,T00,"8,025,046"
Nevada,29,2016,Property taxes,T01,"280,055"
Nevada,29,2016,Sales and gross receipts taxes,TA1,"6,347,777"
Nevada,29,2016,License taxes,TA3,"651,067"
Nevada,29,2016,Income taxes,TA4,X
Nevada,29,2016,Other taxes,TA5,"746,147"
New Hampshire,30,2016,Total Taxes,T00,"2,641,946"
New Hampshire,30,2016,Property taxes,T01,"406,394"
New Hampshire,30,2016,Sales and gross receipts taxes,TA1,"982,832"
New Hampshire,30,2016,License taxes,TA3,"329,549"
New Hampshire,30,2016,Income taxes,TA4,"788,210"
New Hampshire,30,2016,Other taxes,TA5,"134,961"
New Jersey,31,2016,Total Taxes,T00,"31,546,720"
New Jersey,31,2016,Property taxes,T01,"4,638"
New Jersey,31,2016,Sales and gross receipts taxes,TA1,"13,173,332"
